year,season,province,variety,area_old,area_updated,_merge,area_diff,area_abs_diff
2015,inseason,Kanchanaburi,ชัยนาท1,887262.0,28633.0,both,-858629.0,858629.0
2015,inseason,Kanchanaburi,ปทุมธานี1,1298744.0,41912.0,both,-1256832.0,1256832.0
2015,inseason,Kanchanaburi,พันธุ์พื้นเมือง,1106095.0,35695.0,both,-1070400.0,1070400.0
2015,inseason,Kanchanaburi,ราชการไม่ไวต่อช่วงแสง,1946690.0,62822.0,both,-1883868.0,1883868.0
2015,inseason,Kanchanaburi,ราชการไวต่อช่วงแสง,1483707.0,47881.0,both,-1435826.0,1435826.0
2015,inseason,Kanchanaburi,สุพรรณบุรี1,3493860.0,112750.0,both,-3381110.0,3381110.0
2015,inseason,Kanchanaburi,"สุพรรณบุรี60,90",111151.0,3587.0,both,-107564.0,107564.0
2015,inseason,Kanchanaburi,หอมสุพรรณบุรี,351955.0,11358.0,both,-340597.0,340597.0
2015,inseason,Khon Kaen,กข15,804647.0,26455.0,both,-778192.0,778192.0
2015,inseason,Khon Kaen,กข6,49784053.0,1636787.0,both,-48147266.0,48147266.0
2015,inseason,Khon Kaen,ขาวดอกมะลิ105,15966113.0,524930.0,both,-15441183.0,15441183.0
2015,inseason,Khon Kaen,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Khon Kaen,ชัยนาท1,399358.0,13130.0,both,-386228.0,386228.0
2015,inseason,Khon Kaen,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Khon Kaen,พันธุ์พื้นเมือง,1600991.0,52637.0,both,-1548354.0,1548354.0
2015,inseason,Khon Kaen,ราชการไม่ไวต่อช่วงแสง,1297747.0,42667.0,both,-1255080.0,1255080.0
2015,inseason,Khon Kaen,ราชการไวต่อช่วงแสง,626928.0,20612.0,both,-606316.0,606316.0
2015,inseason,Khon Kaen,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Khon Kaen,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Khon Kaen,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,ขาวดอกมะลิ105,0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,พันธุ์พื้นเมือง,62606.0,2046.0,both,-60560.0,60560.0
2015,inseason,Krabi,ราชการไม่ไวต่อช่วงแสง,0.0,0.0,both,0.0,0.0
2015,inseason,Krabi,ราชการไวต่อช่วงแสง,141123.0,4610.0,both,-136513.0,136513.0
2015,inseason,Krabi,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
