file_path,year,metadata_column,sample_unique_values,sample_unique_count
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachuap Khiri Khan 2015-07-01.csv,2015,name,"11.87997872,99.66968085",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachuap Khiri Khan 2015-07-01.csv,2015,resolvedAddress,"11.87997872,99.66968085",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ratchaburi 2015-01-01.csv,2015,address,Ratchaburi,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ratchaburi 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ratchaburi 2015-01-01.csv,2015,latitude,13.60378641,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ratchaburi 2015-01-01.csv,2015,longitude,99.80105825,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ratchaburi 2015-01-01.csv,2015,name,"13.60378641,99.80105825",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ratchaburi 2015-01-01.csv,2015,resolvedAddress,"13.60378641,99.80105825",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Rayong 2015-07-01.csv,2015,address,Rayong,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Rayong 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Rayong 2015-07-01.csv,2015,latitude,12.77290909,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Rayong 2015-07-01.csv,2015,longitude,101.4139394,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Rayong 2015-07-01.csv,2015,name,"12.77290909,101.4139394",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Rayong 2015-07-01.csv,2015,resolvedAddress,"12.77290909,101.4139394",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Sa kaeo 2015-01-01.csv,2015,address,Sa kaeo,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Sa kaeo 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Sa kaeo 2015-01-01.csv,2015,latitude,13.72012069,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Sa kaeo 2015-01-01.csv,2015,longitude,102.3403103,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Sa kaeo 2015-01-01.csv,2015,name,"13.72012069,102.3403103",1
